id,Kamala D. Harris,Chase Oliver,Jill Stein,Randall Terry,Donald J. Trump,Cornel West,Write-In,over,under
16-01,1622,20,17,8,1251,4,12,4,3
16-02,3256,14,33,7,892,21,12,8,14
16-03,819,9,10,2,424,4,3,0,4
16-04,1533,10,17,4,1059,7,9,3,9
16-05,1242,11,12,6,943,10,3,1,11
16-06,729,5,5,1,335,1,8,0,6
16-07,1860,18,19,4,1170,7,17,2,18
16-09,2929,28,30,4,1640,24,16,5,18
16-10,3336,12,20,2,623,29,9,3,10
16-11,3077,13,19,2,926,28,18,3,10
17-01,1578,11,34,1,603,7,4,4,6
17-02,1128,13,12,2,714,7,8,0,9
17-03,4015,31,42,4,1639,18,25,2,12
17-05,2352,10,43,1,969,16,13,4,12
17-06,1138,8,7,3,932,5,4,0,7
17-07,2471,11,16,5,551,19,11,6,10
17-09,2595,6,21,4,438,24,8,2,8
17-10,692,2,3,0,348,5,1,2,2
17-11,2807,11,38,3,1075,16,11,4,9
17-12,2170,12,14,4,757,18,9,1,8
17-13,3067,20,27,6,1504,25,18,2,22
17-14,3079,17,37,3,1323,17,12,1,19
17-15,1461,10,5,1,804,6,12,0,10
18-01,2814,26,81,6,887,17,17,3,11
18-02,2252,32,30,5,2273,2,24,1,23
18-03,1312,7,18,5,747,3,12,0,7
18-04,2128,28,49,8,1874,6,11,0,24
18-05,2866,25,38,7,1881,2,28,3,23
18-06,2298,19,138,2,955,24,14,2,17
18-07,1733,24,28,6,1844,10,20,2,18
18-08,2348,23,65,6,1345,7,12,1,18
19-03,1626,18,23,12,1429,8,20,1,19
19-05,1454,14,16,6,1730,2,31,4,13
19-07,2659,24,20,8,2204,11,35,1,22
19-09,2291,21,22,6,2588,7,24,3,26
19-11,1723,14,10,2,1392,11,12,1,15
19-13,1130,7,6,3,734,5,7,5,10
19-14,1516,18,19,5,1135,7,8,3,12
19-15,1432,13,18,3,1236,8,9,1,8
19-16,1379,13,22,2,1112,9,6,3,9
19-17,3236,26,38,3,1440,11,10,1,11
19-18,2033,23,18,6,1724,10,13,0,11
19-19,3443,33,20,13,3467,4,27,1,33
19-20,1826,15,18,5,1565,8,21,2,16
19-21,2750,26,47,7,1900,10,22,4,15
19-22,1596,15,14,4,1390,0,11,1,15
19-23,2609,32,16,2,1954,15,16,1,24
20-01,2044,17,45,3,1225,4,14,2,23
20-03,2484,23,33,8,1598,3,19,2,23
20-04,2134,15,47,6,1006,3,25,0,14
20-05,2273,24,40,6,1599,7,20,0,16
20-06A,3040,26,53,7,1664,10,26,3,23
20-06B,1973,29,21,6,1285,4,17,0,13
20-08,2657,33,68,7,1772,8,22,0,23
20-09,1604,27,12,5,926,3,14,0,14
20-10,1944,13,43,1,880,5,11,3,13
20-11,3438,37,59,8,2181,4,20,2,28
20-12,3504,28,68,7,2196,7,14,1,21
20-14,4463,34,104,8,2296,10,20,5,29
20-15,2947,29,60,4,1278,9,15,2,17
20-16,2840,17,48,2,1191,10,7,0,12
20-17,2974,16,58,4,1592,3,9,0,17
